,reference,system output,identity term and its gender in reference,identity term and its gender in output
31,"As penas dos dinossauros, conhecidas como raque, não têm uma haste bem desenvolvida, mas possuem outras características, como farpas e bárbulas. Em vista disso, os pesquisadores concluíram que a raque era possivelmente o resultado de um desenvolvimento evolutivo posterior a essas outras características.","Como as penas dos dinossauros não têm um eixo bem desenvolvido, chamado de rachis, mas têm outras características das penas - barbas e barbulas - os pesquisadores concluíram que o rachis era provavelmente um desenvolvimento evolutivo posterior que essas outras características.","as:female, raque:neutral, não:male, uma:female, outras:female, os:male, que:neutral, a:female, um:male, outras:female","as:female, que:neutral, não:male, um:male, outras:female, os:male, que:neutral, o:male, um:male, outras:female"
32,"A estrutura das penas sugere que não foram utilizadas em voo, mas sim, para se exibir ou regular a temperatura. Os pesquisadores sugeriram que, embora esta seja a cauda de um jovem dinossauro, a amostra tem a plumagem de um adulto, e não a de um filhote.","A estrutura das penas sugere que elas não foram usadas em vôo, mas sim para regulação de temperatura ou exibição.Os pesquisadores sugeriram que, embora esta seja a cauda de um jovem dinossauro, a amostra mostra penugem adulta e não a de uma galinha.","a:female, que:neutral, não:male, a:female, que:neutral, a:female, um:male, a:female, um:male, não:male","a:female, que:neutral, não:male, a:female, que:neutral, a:female, um:male, a:female, uma:female, não:male"
34,"Na manhã de ontem, um carro-bomba explodiu na sede da polícia em Gaziantep, Turquia, matou dois policiais e feriu mais de vinte outras pessoas.","Uma bomba explodiu na sede da polícia em Gaziantep, na Turquia, na manhã de ontem, matando dois policiais e ferindo mais de vinte pessoas.","manhã:female, um:male, dois:male, pessoas:neutral","manhã:female, uma:female, dois:male, pessoas:neutral"
37,"Eles descobriram que o sol operava com o mesmo princípios básicos que outras estrelas: a atividade de todas as estrelas no sistema foi determinada por sua luminosidade, sua rotação e nada mais.","Eles descobriram que o Sol operava sobre os mesmos princípios básicos que as outras estrelas: A atividade de todas as estrelas no sistema foi encontrada para ser impulsionada por seu brilho, sua rotação, e nada mais.","que:neutral, o:male, o:male, que:neutral, outras:female, as:female, sua:female, sua:female, rotação:male","que:neutral, o:male, a:female, que:neutral, outras:female, as:female, sua:female, seu:male, rotação:male"
38,"A luminosidade e rotação são utilizadas em conjunto para definir o número de Rossby de uma estrela, o qual tem relação com o fluxo de plasma.","A luminosidade e a rotação são usadas juntas para determinar o número de Rossby de uma estrela, que está relacionado ao fluxo de plasma.","a:female, rotação:male, são:male, o:male, uma:female, o:male","a:female, rotação:male, são:male, o:male, uma:female, a:female"
44,"As velocidades do 802.11n são substancialmente mais rápidas do que as dos seus antecessores, teoricamente, com um rendimento máximo de 600 Mb/s.","As velocidades do 802.11n são substancialmente mais rápidas do que as de seus predecessores, com uma taxa de transferência teórica máxima de 600 Mbit/s.","as:female, são:male, que:neutral, as:female, seus:male, um:male","as:female, são:male, que:neutral, as:female, seus:male, uma:female"
52,"Ele adverte que não há garantias de que alguma ação no Iraque neste momento irá impedir a guerra entre seitas, o aumento da violência ou a tendência para o caos.","Ninguém pode garantir que qualquer curso de ação no Iraque neste momento vai parar a guerra sectária, crescente violência, ou um deslizamento para o caos.","que:neutral, não:male, que:neutral, alguma:female, a:female, o:male","que:neutral, ação:male, iraque:neutral, um:male, a:female, o:male"
57,"A senhora Kirchner anunciou sua intenção de se candidatar a presidente no Teatro Argentina, o mesmo local que ela usou para iniciar sua campanha ao senado em 2005 como membro da delegação da província de Buenos Aires.","A senhora Kirchner anunciou sua intenção de concorrer à presidência no Teatro Argentino, o mesmo local que usou para iniciar sua campanha de 2005 para o Senado como membro da delegação provincial de Buenos Aires.","a:female, sua:female, intenção:male, a:female, o:male, mesmo:male, sua:female, delegação:male","a:female, sua:female, intenção:male, o:male, o:male, mesmo:male, sua:female, delegação:male"
59,A crítica liberal sobre o esforço de reconstrução focou na concessão de contratos de reconstrução a pessoas com influência em Washington.,A crítica liberal do esforço de reconstrução tem se concentrado na concessão de contratos de reconstrução a insiders percebidos de Washington.,"a:female, crítica:female, o:male, reconstrução:male, concessão:male, reconstrução:male","a:female, crítica:female, a:female, reconstrução:male, concessão:male, reconstrução:male"
66,"Robin Uthappa fez a pontuação mais alta do Innings, 70 corridas em apenas 41 bolas, acertando 11 quatros e 2 seis.","Robin Uthappa fez o maior número de pontos nos innings, 70 corridas em apenas 41 bolas, atingindo 11 quatros e 2 seis.",a:female,o:male
